dataset,model,condition,fraction,metric,frozen_signed_error,frozen_abs_error,mc_n_draws,mc_signed_error_p2_5,mc_signed_error_p97_5,empirical_percentile_of_signed_error,empirical_percentile_of_abs_error,outside_central_95pct_mc_interval,characterization
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep4,50%,accuracy,0.003,0.003,1000,-0.016000000000000014,0.016000000000000014,60.5,24.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep4,50%,bias_score,0.0993514775405719,0.0993514775405719,1000,-0.8586315054424108,0.8411682943573889,59.699999999999996,19.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep4,50%,bias_present_rate,0.0065758605028239,0.0065758605028239,1000,-0.017451191549228057,0.017586871513835006,77.4,54.400000000000006,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep4,50%,bias_cond_severity,-1.1151251089256815,1.1151251089256815,1000,-3.1933482175206405,3.196722300702833,26.200000000000003,48.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep4,50%,reasoning_quality,-0.0655000000000001,0.0655000000000001,1000,-0.5994999999999919,0.6557250000000033,41.0,14.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep5,50%,accuracy,0.002,0.002,1000,-0.016000000000000014,0.016000000000000014,57.199999999999996,16.1,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep5,50%,bias_score,0.3265787047677992,0.3265787047677992,1000,-0.8586315054424108,0.8411682943573889,78.2,54.300000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep5,50%,bias_present_rate,0.0065758605028239,0.0065758605028239,1000,-0.017451191549228057,0.017586871513835006,77.4,54.400000000000006,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep5,50%,bias_cond_severity,0.4503921324536222,0.4503921324536222,1000,-3.1933482175206405,3.196722300702833,61.1,22.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep5,50%,reasoning_quality,-0.1344999999999885,0.1344999999999885,1000,-0.5994999999999919,0.6557250000000033,32.5,31.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 37%,37%,accuracy,0.0009946524064171,0.0009946524064171,1000,-0.021732620320855656,0.019711229946524078,54.400000000000006,5.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 37%,37%,bias_score,-0.0544529292758824,0.0544529292758824,1000,-1.1366262303232095,1.1897986760760064,44.800000000000004,6.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 37%,37%,bias_present_rate,0.0046703405250148,0.0046703405250148,1000,-0.0209517557030346,0.023439982372261203,65.8,31.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 37%,37%,bias_cond_severity,-1.6752926886872077,1.6752926886872077,1000,-4.217549067607753,4.323156068460686,22.0,55.800000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 37%,37%,reasoning_quality,-0.1755427807486569,0.1755427807486569,1000,-0.8841323529411653,0.7563088235294231,35.6,33.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 25%,25%,accuracy,0.01,0.01,1000,-0.026000000000000023,0.026000000000000023,74.5,47.599999999999994,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 25%,25%,bias_score,-0.1675787793696441,0.1675787793696441,1000,-1.4501940098305663,1.6041540863618187,45.4,15.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 25%,25%,bias_present_rate,0.0097273085440516,0.0097273085440516,1000,-0.030569284642321157,0.0317713967204043,77.2,48.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 25%,25%,bias_cond_severity,-3.7355351741633385,3.7355351741633385,1000,-5.651369486736776,5.427797602409881,8.799999999999999,80.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 25%,25%,reasoning_quality,0.2085000000000008,0.2085000000000008,1000,-1.1358499999999931,1.0307500000000034,64.1,31.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep1,smallest,accuracy,0.003,0.003,1000,-0.04135483870967738,0.04332258064516126,44.3,6.1,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep1,smallest,bias_score,0.4352640029692267,0.4352640029692267,1000,-2.0687682550952893,2.419430860093427,67.30000000000001,27.500000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep1,smallest,bias_present_rate,0.0186887798738078,0.0186887798738078,1000,-0.04582734915845019,0.04691458632542078,79.4,54.50000000000001,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep1,smallest,bias_cond_severity,-1.952790891419056,1.952790891419056,1000,-8.193345190061585,9.494414150160988,31.2,34.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep1,smallest,reasoning_quality,-0.2119193548386988,0.2119193548386988,1000,-1.6922620967741866,1.7680201612903235,34.9,20.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep2,smallest,accuracy,0.0110645161290322,0.0110645161290322,1000,-0.04135483870967738,0.04332258064516126,58.599999999999994,31.900000000000002,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep2,smallest,bias_score,0.1731672287756787,0.1731672287756787,1000,-2.0687682550952893,2.419430860093427,59.699999999999996,10.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep2,smallest,bias_present_rate,0.0146565218092917,0.0146565218092917,1000,-0.04582734915845019,0.04691458632542078,75.4,44.9,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep2,smallest,bias_cond_severity,-2.6693900817024527,2.6693900817024527,1000,-8.193345190061585,9.494414150160988,25.5,44.9,False,typical (within central 95% of independent stratified draws)
