model,model_revision,dataset,condition,condition_code,evaluated_items,subset_target_rows,subset_replicate,subset_membership_sha256,effective_batch_size,precision_or_quantization,max_pixels_override,accuracy_pct,delta_accuracy_pp,bias_score,bias_assessable_n,bias_null_n,bias_present_n,bias_present_rate,reasoning_quality_score,judgeable_n,runtime_min,nvml_gpu_energy_kwh,operational_co2e_kg,estimated_water_primary_low_l,estimated_water_primary_high_l
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 50% rep3,M4,1008,1008,3,59d799ebecfd58a417ec6eec31f24331707b3fc87d318bfb1382d19bd620e1eb,1,BF16,2359296,92.460317,0.268125,3.0218,1008,0,58,0.0575,84.6508,1008,76.430949,0.37604424111111107,0.022186610225555556,0.7718797241298629,1.71528827584414
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 50% rep4,M4,1008,1008,4,87adb46a1e2243f897dcab1834b10334e67f73fa4d470c8e6b5339a41d3701bc,1,BF16,2359296,92.261905,0.069713,2.9653,1008,0,56,0.0556,85.7857,1008,75.333087,0.38590221027777777,0.022768230406388888,0.7883457700609534,1.7518794890243408
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 50% rep5,M4,1008,1008,5,3b51f290e8e967d3095280c8dfc76ed085e73a95e499c5d417512ab7e765a152,1,BF16,2359296,92.857143,0.664951,3.2649,1008,0,59,0.0585,85.0069,1008,75.223053,0.37947439722222226,0.022388989436111114,0.7763069868415936,1.7251266374257634
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 37%,M4,756,756,1,9cb6e99091e9accec8e34a6fa75c3cece14aee0c69f56f7edb5c8a34e8528558,1,BF16,2359296,91.402116,-0.790076,3.0119,756,0,41,0.0542,85.664,756,54.934726,0.27043289555555555,0.01595554083777778,0.555311975348746,1.234026611886102
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 25%,M4,504,504,1,b40d2b7c5ce1ada814685142c0bb359946ed7ad5070fca4f027465dda78cc9ae,1,BF16,2359296,89.68254,-2.509652,3.5119,504,0,35,0.0694,84.4187,504,36.573065,0.18703806444444446,0.011035245802222222,0.38219400359704647,0.8493200079934365
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 smallest rep1,M4,252,252,1,53b0493ad40c281aa5fb73fc0804faaf6e1101a918db2385805ce026d44e09c3,1,BF16,2359296,88.095238,-4.096954,3.9444,252,0,18,0.0714,83.9524,252,18.258255,0.09002336833333333,0.005311378731666666,0.18475649529265128,0.4105699895392251
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 smallest rep2,M4,252,252,2,85340f259b340620737b9bc8bf5b803ec2287ae8caf37db68da3389a0c10acd1,1,BF16,2359296,89.68254,-2.509652,3.6508,252,0,20,0.0794,84.5476,252,18.864151,0.09340820972222222,0.005511084373611111,0.19150218604205413,0.42556041342678697
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 smallest rep3,M4,252,252,3,cc3466c7e87cda79b12285eaf9671d20a2921ed16899a38c6e8adf45a521642e,1,BF16,2359296,95.238095,3.045903,2.4802,252,0,8,0.0317,84.8294,252,18.623918,0.0924466863888889,0.0054543544969444455,0.18964349219828,0.4214299826628444
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 smallest rep4,M4,252,252,4,d925a3be85c7b9292cb54ac3b7a8fdf51ccbff22778006f70a669c66605971a1,1,BF16,2359296,93.650794,1.458602,2.5357,252,0,15,0.0595,87.377,252,18.419823,0.08979704749999999,0.0052980258025,0.18455660789541725,0.41012579532314947
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 smallest rep5,M4,252,252,5,6358b69fbb271df7d32c6fc44bbbeca360595920d06e44909f6b6e295ee78004,1,BF16,2359296,92.460317,0.268125,2.5357,252,0,12,0.0476,84.3056,252,19.13505,0.09379701888888889,0.005534024114444445,0.19263214462447678,0.4280714324988373
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M5a 50% + larger batch,M5a,1008,1008,1,a49dd3b45524bfe380572ec1bbb38ba2a61e58a473f977d68910d4dd6ff51632,2,BF16,2359296,92.162698,-0.029494,2.7232,1008,0,52,0.0516,85.4087,1008,55.124667,0.2935407669444444,0.01731890524972222,0.5967084979664913,1.3260188843699805
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M5b 50% + INT8,M5b,1008,1008,1,a49dd3b45524bfe380572ec1bbb38ba2a61e58a473f977d68910d4dd6ff51632,1,INT8,2359296,92.559524,0.367332,2.7044,1008,0,54,0.0536,85.5129,1008,312.337138,0.7072124683333333,0.041725535631666665,1.7990741967843908,3.9979426595208687
