dataset,model,comparison_id,field,value,n_total_in_stratum,accuracy_n,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,rq_n,rq_delta,rq_ci_lo,rq_ci_hi,bias_score_n,bias_score_delta,bias_score_ci_lo,bias_score_ci_hi,bias_present_rate_n,bias_present_rate_delta,bias_present_rate_ci_lo,bias_present_rate_ci_hi,low_n
bbq_v,qwen25_vl_7b,M3,category,Gender_identity,222,222,-0.02252252252252252,-0.04878380169671266,0.0,221,-2.3891402714932126,-4.174069167480141,-0.4704014722057717,221,0.4796380090497738,0.024749426913134687,1.1021208708708692,221,0.01809954751131222,0.0,0.040821559392987934,False
bbq_v,qwen25_vl_7b,M3,category,Nationality,222,222,-0.013513513513513514,-0.042857142857142816,0.011627906976744207,221,-4.4389140271493215,-6.49356097168597,-2.6503138945616884,221,0.665158371040724,-0.7888024390243906,2.171184044233804,221,0.013574660633484163,-0.01834862385321101,0.04444444444444444,False
bbq_v,qwen25_vl_7b,M3,category,Physical_appearance,222,222,-0.036036036036036036,-0.0723001095290252,-0.007443904637884418,222,-1.045045045045045,-3.4229359667976023,1.223500967117992,221,0.06787330316742081,-2.423235762932908,2.183788014311269,221,0.013574660633484163,-0.051168305910469725,0.07070707070707069,False
bbq_v,qwen25_vl_7b,M3,category,Race_ethnicity,222,222,-0.06756756756756757,-0.1263172353961828,-0.019993421052631632,222,-1.2432432432432432,-3.7176383399209505,1.1942458677685954,222,-0.20270270270270271,-1.9080098684210527,0.9830919232099617,222,0.0045045045045045045,-0.020833333333333332,0.024793388429752067,False
bbq_v,qwen25_vl_7b,M3,category,Religion,222,222,-0.02252252252252252,-0.051285046728972,-0.004201680672268893,216,-0.9814814814814815,-4.099008045189995,1.5823903909389803,216,0.3333333333333333,-0.8287771787560158,1.7494176904176886,216,0.009259259259259259,-0.017243245260486647,0.042553191489361694,False
bbq_v,qwen25_vl_7b,M3,category,SES,222,222,0.0045045045045045045,0.0,0.01500378787878787,221,-0.45248868778280543,-2.560552206608736,1.6559137260163719,221,-0.33031674208144796,-0.9111698717948719,0.030000000000000027,221,-0.00904977375565611,-0.03000187969924812,0.0,False
bbq_v,qwen25_vl_7b,M3,category,Sexual_orientation,222,222,-0.018018018018018018,-0.07479593043889744,0.03750589622641504,217,-1.4608294930875576,-3.857305194805199,0.9917405913978428,217,-0.1336405529953917,-1.4046364077465083,1.1539308176100622,217,0.009216589861751152,-0.038836299892125135,0.060915253188064865,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Age,222,222,-0.013513513513513514,-0.04237488007675087,0.01087255136168183,222,-3.009009009009009,-5.578747388974669,-0.9350906013540463,222,-0.17117117117117117,-1.1298099415204679,0.5566573682185452,222,0.0045045045045045045,-0.030864197530864196,0.040178571428571425,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Disability_status,222,222,-0.018018018018018018,-0.049507784747940486,0.0052631578947367474,222,-3.3423423423423424,-5.254251548239887,-1.5658516988062439,222,-0.40540540540540543,-1.5492969900589104,0.5658947368421048,222,-0.02252252252252252,-0.057972631987577634,0.010204081632653059,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Gender_identity,222,222,-0.009009009009009009,-0.02252764127764127,0.0,222,-2.027027027027027,-3.5600432098765458,-0.6652490949481681,222,0.07207207207207207,-0.10544501133786849,0.2983253733147936,222,-0.0045045045045045045,-0.015306122448979591,0.0,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Nationality,222,222,-0.04054054054054054,-0.07920792079207928,-0.011536259541984815,222,-2.81981981981982,-4.806727889175483,-0.9998922413793109,222,0.5990990990990991,-0.5405477855477858,1.9846361961777574,222,0.0045045045045045045,-0.02293709796477908,0.0354401012373453,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Physical_appearance,222,222,-0.03153153153153153,-0.0542228319217464,-0.011625670840787151,222,-1.9324324324324325,-3.6203544679752073,-0.18192602040817127,222,1.2432432432432432,-0.540936783804431,3.0586488564289804,222,0.036036036036036036,0.0,0.07303976172026344,False
bbq_v,qwen3_vl_30b_a3b,M3,category,Race_ethnicity,222,222,-0.04954954954954955,-0.10084125755565382,-0.008474576271186526,222,-3.7837837837837838,-6.416750000000005,-1.5451877470355757,221,0.28054298642533937,-0.4811181434599155,1.040842429995254,221,0.027149321266968326,0.008436181434599156,0.05000570776255705,False
