dataset,model,comparison_id,cond_a,cond_b,n_rows_paired,n_clusters,n_rq_paired,n_bias_paired,delta_acc,delta_acc_cluster_ci_lo,delta_acc_cluster_ci_hi,delta_rq,delta_rq_cluster_ci_lo,delta_rq_cluster_ci_hi,delta_bias_score,delta_bias_score_cluster_ci_lo,delta_bias_score_cluster_ci_hi,delta_bias_present_rate,delta_bias_present_rate_cluster_ci_lo,delta_bias_present_rate_cluster_ci_hi,delta_acc_row_ci_lo,delta_acc_row_ci_hi,delta_rq_row_ci_lo,delta_rq_row_ci_hi,delta_bias_score_row_ci_lo,delta_bias_score_row_ci_hi,delta_acc_row_ci_width,delta_acc_cluster_ci_width,delta_acc_ci_width_ratio_cluster_over_row,delta_acc_row_ci_excludes_zero,delta_acc_cluster_ci_excludes_zero,delta_acc_zero_inclusion_changed,delta_rq_row_ci_width,delta_rq_cluster_ci_width,delta_rq_ci_width_ratio_cluster_over_row,delta_rq_row_ci_excludes_zero,delta_rq_cluster_ci_excludes_zero,delta_rq_zero_inclusion_changed,delta_bias_score_row_ci_width,delta_bias_score_cluster_ci_width,delta_bias_score_ci_width_ratio_cluster_over_row,delta_bias_score_row_ci_excludes_zero,delta_bias_score_cluster_ci_excludes_zero,delta_bias_score_zero_inclusion_changed
bbq_v,qwen25_vl_7b,M1,M1 larger batch,M0 baseline,1998,389,1998,1995,0.0005005005005004337,-0.0020619088655538104,0.003095975232198178,-0.06056056056056036,-0.4552540265735679,0.3306574292285862,0.03759398496240607,-0.2392391131107218,0.30802165940371934,-0.0005012531328320718,-0.0069930943619099534,0.005816932071202336,-0.002502502502502501,0.00350350350350348,-0.4404404404404403,0.3133133133133157,-0.2390977443609019,0.3162907268170425,0.006006006006005982,0.0051578840977519885,0.8587877022757096,False,False,False,0.753753753753756,0.785911455802154,1.0426634055064403,False,False,False,0.5553884711779444,0.5472607725144412,0.9853657411248294,False,False,False
bbq_v,qwen25_vl_7b,M2,M2 INT8,M0 baseline,1998,389,1998,1995,-0.007507507507507505,-0.013775767199774924,-0.0015243515537947817,0.03703703703703809,-0.46995304079662253,0.5276182235414881,0.29874686716791965,-0.0693919635134911,0.6744533050017818,0.006015037593984973,-0.0024356387675785515,0.014773372937960464,-0.013513513513513488,-0.002002002002001957,-0.4960085085085097,0.5480605605605715,-0.0586591478696742,0.6611528822055139,0.011511511511511531,0.012251415645980143,1.0642751504638384,True,True,False,1.0440690690690813,0.9975712643381107,0.9554648192265391,False,False,False,0.7198120300751881,0.7438452685152729,1.0333882144725677,False,False,False
bbq_v,qwen25_vl_7b,M3,M3 INT4,M0 baseline,1998,389,1984,1982,-0.028028028028028062,-0.039215942653211884,-0.017125947885218044,-1.6910282258064484,-2.5071948008603333,-0.8969148637333083,0.09939455095862781,-0.37278044343352235,0.5547111275708486,0.0136226034308779,0.0019850870455709133,0.02538865163536269,-0.03654904904904904,-0.019519519519519468,-2.4123235887096857,-0.979322076612908,-0.3688193743693237,0.5696266397578205,0.017029529529529575,0.02208999476799384,1.2971582526510383,True,True,False,1.4330015120967776,1.610279937127025,1.1237112616656297,True,True,False,0.9384460141271442,0.927491571004371,0.9883270396401416,False,False,False
bbq_v,qwen25_vl_7b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1008,195,1008,1006,0.0009920634920635996,0.0,0.0030120481927710108,0.5545634920634797,-0.01062881262993291,1.1267507108321606,0.05765407554671986,-0.38606252003589003,0.4533111015718573,-0.0029821073558648076,-0.012275731822474031,0.005917305793909941,0.0,0.002976190476190576,0.0515873015873037,1.0645089285714278,-0.3041998011928431,0.4493041749502979,0.002976190476190576,0.0030120481927710108,1.0120481927710256,False,False,False,1.0129216269841241,1.1373795234620936,1.1228702134127897,True,False,True,0.753503976143141,0.8393736216077473,1.113960441063809,False,False,False
bbq_v,qwen25_vl_7b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1008,195,1008,1007,-0.009920634920634885,-0.019048336201950702,-0.0019157088122605526,0.2291666666666572,-0.4485199289159631,0.9128322632389163,0.2720953326713009,-0.1522279574554814,0.7348490306523447,0.0009930486593843074,-0.010280566132071855,0.011948620957347073,-0.018849206349206397,-0.001984126984126977,-0.5158978174603277,0.9325644841269846,-0.1618669314796426,0.7348560079443889,0.01686507936507942,0.01713262738969015,1.0158640240475068,True,True,False,1.4484623015873122,1.3613521921548795,0.9398602853957799,False,False,False,0.8967229394240315,0.8870769881078262,0.9892431085543536,False,False,False
bbq_v,qwen3_vl_30b_a3b,M1,M1 larger batch,M0 baseline,1998,389,1998,1998,0.0025025025025025016,-0.003000075075075076,0.007874015748031482,-0.0790790790790794,-0.5055970428626143,0.3483152584850634,-0.3098098098098099,-0.6659945487013212,0.025918194054728075,-0.0045045045045045,-0.01180708257207069,0.0029737601110959373,-0.002502502502502501,0.007507507507507505,-0.4679804804804917,0.3093343343343374,-0.6636761761761761,0.0290290290290289,0.010010010010010006,0.010874090823106558,1.0863216732283456,False,False,False,0.777314814814829,0.8539123013476777,1.0985411381244492,False,False,False,0.6927052052052051,0.6919127427560493,0.9988559888922431,False,False,False
bbq_v,qwen3_vl_30b_a3b,M2,M2 INT8,M0 baseline,1998,389,1998,1998,0.004004004004004025,-0.002061908865553813,0.01033464566929132,-0.0240240240240297,-0.4736383876120239,0.42394800071191535,-0.25325325325325343,-0.6259164172539935,0.0922302467597204,-0.004004004004004004,-0.012716174974567646,0.004550050556117291,-0.002002002002002068,0.010010010010010006,-0.4699824824824787,0.4414414414414409,-0.5945945945945947,0.0855980980980981,0.012012012012012074,0.012396554534845134,1.0320131650258522,False,False,False,0.9114239239239196,0.8975863883239392,0.984817673492258,False,False,False,0.6801926926926929,0.7181466640137139,1.0557988518970585,False,False,False
bbq_v,qwen3_vl_30b_a3b,M3,M3 INT4,M0 baseline,1998,389,1998,1996,-0.024024024024024038,-0.034267912772585674,-0.014170040485830034,-2.58008008008008,-3.265767519856303,-1.9074594631714212,0.29909819639278545,-0.0873516079936476,0.690700200932135,0.01052104208416834,0.0005058041146760271,0.020618556701030924,-0.033033033033032955,-0.015515515515515554,-3.12912912912914,-2.0240240240240293,-0.0576152304609216,0.6773672344689377,0.0175175175175174,0.02009787228675564,1.1473013951125153,True,True,False,1.1051051051051108,1.358308056684882,1.2291211491197374,True,True,False,0.7349824649298593,0.7780518089257826,1.0585991449469934,False,False,False
bbq_v,qwen3_vl_30b_a3b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1008,195,1008,1008,0.003968253968253954,-0.003282817937323537,0.01217162474231921,0.06944444444445708,-0.49217557982292487,0.6273608028116917,-0.3075396825396828,-0.8781078777189886,0.235690168627885,-0.005952380952380952,-0.01609657947686116,0.003898635477582846,-0.002976190476190465,0.010912698412698485,-0.4652777777777714,0.5922619047618983,-0.8552083333333333,0.2242063492063493,0.01388888888888895,0.015454442679642747,1.1127198729342729,False,False,False,1.0575396825396697,1.1195363826346165,1.0586235212905322,False,False,False,1.0794146825396826,1.1137980463468735,1.0318537114265414,False,False,False
bbq_v,qwen3_vl_30b_a3b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1008,195,1008,1008,0.00793650793650802,-0.0020533880903490535,0.018219012021416306,0.17361111111111427,-0.48098919478269797,0.8320596908989109,-0.32638888888888884,-0.8546636997522576,0.16499845767994725,-0.003968253968253968,-0.015534736126326927,0.007766990291262127,-0.001984126984126977,0.017857142857142905,-0.4841269841269877,0.8482638888888804,-0.878993055555556,0.1914682539682539,0.019841269841269882,0.02027240011176536,1.021728965632972,False,False,False,1.332390873015868,1.3130488856816087,0.9854832484025662,False,False,False,1.0704613095238098,1.019662157432205,0.9525446163820692,False,False,False
