dataset,model,fraction,metric,n_draws,mean_signed_error,sd_signed_error,mae,rmse,median_abs_error,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,signed_error_p2_5,signed_error_p97_5
bbq,qwen3_vl_30b_a3b,25%,bias_score,1000,-0.022779352515937084,0.7859253555128858,0.6268839843027726,0.7858625100325521,0.49299799599198435,1.2782521260630313,1.532680220069954,1.9723185352596144,3.017747873936969,-1.4501940098305663,1.6041540863618187
bbq,qwen3_vl_30b_a3b,25%,bias_present_rate,1000,-0.000744835744525564,0.015940802837700115,0.012661641305622747,0.01595023091374042,0.010569284642321153,0.026344835744525563,0.03143071535767886,0.04143071535767884,0.05143071535767885,-0.030569284642321157,0.0317713967204043
bbq,qwen3_vl_30b_a3b,25%,bias_cond_severity,1000,0.012807620894036958,2.8653537193677936,2.3122271207212335,2.8639493222315786,1.9973128243143066,4.86069954526521,5.499101545866888,6.863548162785171,10.139932108411017,-5.651369486736776,5.427797602409881
bbq,qwen3_vl_30b_a3b,25%,reasoning_quality,1000,0.0007360000000056033,0.5452409008355331,0.4293059999999999,0.5449687091934726,0.34949999999999193,0.8801999999999951,1.0735499999999958,1.477579999999992,1.9194999999999993,-1.1358499999999931,1.0307500000000034
bbq,qwen3_vl_30b_a3b,smallest,accuracy,1000,0.0033830645161290348,0.021957719927972897,0.018079903225806437,0.022205955248337194,0.015096774193548379,0.03732258064516125,0.04332258064516126,0.055419354838709634,0.07154838709677425,-0.04135483870967738,0.04332258064516126
bbq,qwen3_vl_30b_a3b,smallest,bias_score,1000,-0.04606025914387233,1.179890487540254,0.9517865823257063,1.1801995460504935,0.8328811583210958,1.8994208797947356,2.2100401305034127,3.119365805241658,5.052199486840195,-2.0687682550952893,2.419430860093427
bbq,qwen3_vl_30b_a3b,smallest,bias_present_rate,1000,-0.0024690822131713582,0.023792409722379802,0.019243711887940836,0.02390834683980878,0.01760154270683728,0.03885007019638853,0.04691458632542078,0.05579518577690305,0.09126942503509819,-0.04582734915845019,0.04691458632542078
bbq,qwen3_vl_30b_a3b,smallest,bias_cond_severity,1000,0.2953058488309077,4.413590382829003,3.5395372462062054,4.421256137308379,2.981168002113236,7.245402242775575,8.358327703534803,11.24497833935018,14.669390081702453,-8.193345190061585,9.494414150160988
bbq,qwen3_vl_30b_a3b,smallest,reasoning_quality,1000,0.08369758064516707,0.8798841239479251,0.7031624516129036,0.8834178855501436,0.5945322580645183,1.4816290322580699,1.7209693548387057,2.292278709677426,2.836919354838699,-1.6922620967741866,1.7680201612903235
bbq_v,qwen25_vl_7b,75%,accuracy,1000,0.00028226830743401397,0.006897315039552252,0.005485665666302415,0.006899641816606172,0.004609271523178804,0.011341412743601566,0.013169198099130376,0.017899441678406375,0.025162679368286756,-0.012556534884004433,0.014317856319702317
bbq_v,qwen25_vl_7b,75%,bias_score,1000,-0.013214012366347958,0.2212182697687358,0.17620386077906672,0.2215021342547554,0.15346459362588405,0.36253267143848117,0.4369229104777186,0.5649296190215706,0.7357536344291313,-0.4943542931981271,0.39454706141121243
