dataset,model,comparison_id,bias_group,n_total_in_group,accuracy_n,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,rq_n,rq_delta,rq_ci_lo,rq_ci_hi,bias_score_n,bias_score_delta,bias_score_ci_lo,bias_score_ci_hi,bias_present_rate_n,bias_present_rate_delta,bias_present_rate_ci_lo,bias_present_rate_ci_hi,low_n
bbq_v,qwen3_vl_30b_a3b,M3,Ethiopian,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Kenyan,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Guinean,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Mozambican,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Nigerian,104,104,-0.019230769230769232,-0.051733117816091946,0.0,104,-1.7019230769230769,-3.9493415551839357,0.22479860365197704,104,1.0576923076923077,-0.65625,3.3692105263157854,104,0.009615384615384616,-0.023824041811846688,0.045454545454545456,False
bbq_v,qwen3_vl_30b_a3b,M3,Namibian,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Malian,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
bbq_v,qwen3_vl_30b_a3b,M3,Vietnamese,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
bbq_v,qwen3_vl_30b_a3b,M3,Thai,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
bbq_v,qwen3_vl_30b_a3b,M3,Indonesian,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
bbq_v,qwen3_vl_30b_a3b,M3,Burmese,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
bbq_v,qwen3_vl_30b_a3b,M3,Japanese,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
bbq_v,qwen3_vl_30b_a3b,M3,Korean,52,52,-0.07692307692307693,-0.1875,0.022754329004328836,52,-5.730769230769231,-12.26002173913044,1.0966071428571282,52,0.7884615384615384,-2.194507575757576,4.166826923076922,52,0.019230769230769232,-0.07999999999999999,0.13157894736842105,False
